latitude,longitude,location_type
39.460496,-123.80675,destination charger
30.276912,-87.55635,destination charger
42.35599,-73.282639,destination charger
38.783407,-77.739663,destination charger
38.983915,-119.943181,destination charger
32.727033,-117.197655,destination charger
33.625358,-111.923295,destination charger
33.61548,-117.914397,destination charger
30.594181,-81.44508,destination charger
38.959887,-123.115359,destination charger
40.6121611,-75.3844391,destination charger
42.0528686,-70.1849905,destination charger
48.116414,-123.255357,destination charger
39.900887,-75.474994,destination charger
28.713394,-81.444838,destination charger
43.76373,-103.613702,destination charger
43.763451,-103.614959,destination charger
38.4515068,-78.9041562,destination charger
34.06794,-118.397163,destination charger
32.601592,-80.092282,destination charger
29.887951,-81.311223,destination charger
37.7138577,-75.7473399,destination charger
42.506009,-70.848065,destination charger
38.66922,-90.615368,destination charger
24.561507,-81.805544,destination charger
38.016727,-78.367276,destination charger
44.0187028,-73.1648974,destination charger
39.316084,-123.799273,destination charger
38.5954604,-122.6047026,destination charger
38.518276,-122.482185,destination charger
34.068876,-118.402376,destination charger
39.1651113,-122.9105147,destination charger
32.874767,-117.208742,destination charger
28.086314,-80.564663,destination charger
40.555629,-81.24124,destination charger
42.80508,-85.56541,destination charger
35.59766,-120.564938,destination charger
42.993454,-82.453042,destination charger
39.445664,-77.705295,destination charger
35.122126,-120.588927,destination charger
35.901319,-84.149634,supercharger
45.64655,-118.68198,supercharger
33.502098,-111.951982,destination charger
37.260149,-108.494074,destination charger
38.488989,-122.452143,destination charger
48.1149208,-123.2683981,destination charger
38.584218,-122.570291,destination charger
35.6132391,-121.1436427,destination charger
40.765844,-73.982481,destination charger
40.746847,-74.001816,destination charger
40.70663,-74.016916,destination charger
40.764259,-73.974972,destination charger
40.755856,-73.984313,destination charger
40.742407,-73.999351,destination charger
40.730487,-73.993569,destination charger
40.728287,-73.992746,destination charger
40.721658,-74.004402,destination charger
38.659382,-122.885417,destination charger
27.652234,-80.355707,destination charger
44.643299,-90.181641,destination charger
39.65525,-79.021482,destination charger
39.657592,-84.15936,destination charger
36.834926,-76.302028,destination charger
32.178251,-111.002467,destination charger
42.945065,-76.442674,destination charger
42.109924,-88.296276,destination charger
37.6355,-118.99,destination charger
36.195272,-81.654462,destination charger
38.4952778,-122.7588656,destination charger
45.3487356,-117.2301099,destination charger
39.518987,-82.5627,destination charger
35.15396,-103.7226,supercharger
39.224458,-84.383926,supercharger
34.97548,-85.3507081,destination charger
39.292319,-119.657538,destination charger
33.97856,-117.701131,destination charger
40.773415,-73.959234,destination charger
40.749255,-74.005914,destination charger
35.494139,-106.071536,destination charger
48.035938,-90.406258,destination charger
35.573886,-83.093919,destination charger
41.481545,-75.183188,destination charger
41.137815,-73.287909,destination charger
40.738733,-74.006009,destination charger
38.560196,-122.448882,destination charger
38.406448,-122.328279,destination charger
40.234985,-111.6607,destination charger
38.476196,-122.797839,destination charger
40.735736,-73.988745,destination charger
40.729364,-74.008513,destination charger
39.102721,-123.49261,destination charger
38.9005107,-77.0369492,destination charger
32.980407,-117.259812,destination charger
41.370068,-81.85471,destination charger
42.578913,-114.459822,destination charger
32.680535,-117.177638,destination charger
35.687809,-83.86247,destination charger
45.0667177,-87.1239315,destination charger
42.41685,-90.426229,destination charger
43.5878943,-116.3530003,destination charger
43.941901,-69.718747,destination charger
43.5046893,-110.8470795,destination charger
38.8790229,-83.472163,destination charger
38.355633,-122.28608,destination charger
37.415328,-122.076575,supercharger
32.715738,-117.1610838,supercharger
42.968675,-78.69568,supercharger
40.415938,-74.444713,supercharger
29.9805,-95.42123,supercharger
41.499616,-74.071324,supercharger
42.914231,-85.533057,supercharger
38.031111,-78.480905,destination charger
38.556018,-122.499959,destination charger
34.06329,-118.441191,destination charger
33.665868,-117.881585,destination charger
44.786747,-124.070451,destination charger
43.7655,-103.601908,destination charger
42.8972266,-72.5223412,destination charger
38.8474025,-77.0513855,destination charger
34.613487,-120.08196,destination charger
38.06574,-78.492423,destination charger
35.969588,-112.129535,destination charger
31.181406,-81.349942,destination charger
43.3618198,-70.4874373,destination charger
44.932621,-85.63599,destination charger
40.575953,-124.265579,destination charger
33.90027,-118.388495,destination charger
37.319736,-80.686176,destination charger
44.297078,-74.010977,destination charger
35.084183,-106.690044,destination charger
39.211757,-76.094796,destination charger
35.2793994,-82.4888109,destination charger
40.764748,-73.982676,destination charger
40.788008,-73.971611,destination charger
40.764261,-73.982974,destination charger
44.213964,-69.062346,destination charger
38.200223,-92.634274,destination charger
40.749296,-74.006017,destination charger
42.199728,-122.715649,destination charger
41.331856,-71.906607,destination charger
40.783536,-73.949507,destination charger
40.704776,-74.008276,destination charger
44.782882,-117.812306,supercharger
38.746526,-105.174984,destination charger
